printing_temperature,feed_rate,printing_speed,Height,Width,FEA_ANN_mean(MPa),FEA_ANN_std(MPa),ANN_mean(MPa),ANN_std(MPa),Experiment_mean(MPa),Experiment_std(MPa),FEA_mean(MPa)
180,30,800,0.38620606,0.46244577,273.4229161719356,53.23328517107366,398.37991999999997,23.126788,391.5,21.718628800000012,671.3714505
185,30,800,0.39422598,0.46304977,274.6855995794101,41.09678704627409,387.49954,16.821686,393,22.142843300000013,674.5733197
190,30,800,0.3996784,0.46074563,271.9582860459916,24.55430771006054,384.86564,11.765977000000001,377.666667,36.33937675,697.5314025
195,30,800,0.40579557,0.4631132,262.89502955655047,11.231691090619071,385.44190000000003,7.6462533,360.166667,31.715998450000015,720.4894853000001
200,30,800,0.42347214,0.47624183,272.5781805775939,18.05346411497935,377.26957,7.283074000000001,358.25,32.70953319999999,776.4241374
205,30,800,0.43167856,0.4807658,287.4070762689979,20.083332400768363,368.3909,7.099061300000001,372.1,31.346185399999978,806.7788046
210,30,800,0.43445316,0.47034213,283.1511399155932,12.93640361215557,364.35428,5.736400000000001,354,47.43372930000001,774.0589402
215,30,800,0.44192114,0.461968,278.866381156435,16.767586621856616,363.68155,6.9848913999999995,365.20000000000005,77.8712425,792.6085862
220,30,800,0.44632053,0.46853137,284.1599075054243,17.89542448491941,361.84412000000003,9.254516,391.444444,64.40331794999999,757.3331924
225,30,800,0.445331,0.47913283,273.6371477084556,15.25190915698931,356.01523999999995,11.156468,360,34.79318360000002,788.8892712
230,30,800,0.44184843,0.48503014,278.776609661412,7.590354108252622,346.05592,12.164377,345.71428599999996,14.394299199999987,842.1041979
235,30,800,0.442745,0.48138806,285.32763353725574,9.75598807581527,341.986,13.122547,337.857143,34.54860525,835.3191246
240,30,800,0.4470044,0.48249218,285.31252780862366,15.45797751823503,335.94623,14.988432,319,18.726699100000022,819.1455985
245,30,800,0.45448115,0.4802926,289.0894043100953,15.350628105038005,332.20768,17.041069,321,165.09707060000005,873.1356155999999
250,30,800,0.46432087,0.4784779,301.1290036344917,15.897699957237624,334.03112999999996,19.615116999999998,335.5,108.0027403,869.0939117
210,30,100,0.49114895,0.44608065,286.18342261219664,10.25116484523101,314.5308,12.142,310.5,62.712909,867.694666
210,30,600,0.45107394,0.4644978,275.7404367661547,12.448143481426147,360.49536,7.5376974,326,63.531023699999984,818.8836719
210,30,1100,0.4240741,0.4826697,276.9925757408106,5.038636542726031,340.58928000000003,5.1670205000000005,333.5,69.8841261,810.4822845
210,30,1600,0.43559492,0.48659357,318.6890053489333,10.47330576774499,342.75934,8.909486,375.5,95.2965355,771.2652248
210,30,2100,0.42142335,0.48610392,332.95492496860004,8.041017022358417,359.15503,13.262309000000002,436,69.2446425,760.7601384
210,30,2600,0.40273556,0.47646162,310.3994433273207,10.704616309399226,400.56294,16.71696,405.5,23.253148000000003,746.2524070000001
210,30,3100,0.3904631,0.4791066,289.3857111411678,9.580816667374028,398.71618,17.821943,394,139.76825210000004,698.8780982000001
210,30,3600,0.3645945,0.47967905,270.5489349762158,15.161625472610378,387.5802,17.849470999999998,392,165.18066160000004,680.8960725
210,30,4100,0.33742973,0.48405758,222.4738208,13.47330576774499,380.49755,17.116742000000002,367.5,44.47171660000002,589.1365855
210,18,1500,0.28693983,0.32965106,35.49457468,14.350684512700528,86.34496999999999,22.4972,145.5,57.177921305000005,52.019109439999994
210,21,1500,0.3285167,0.3802264,83.67594137460094,13.722533070803829,138.20803,18.330796,186,25.412409500000003,257.0080052
210,24,1500,0.36815447,0.43862626,144.1121396058565,11.219349688890166,182.23131999999998,14.024621,227,114.3558426,456.76961259999996
210,27,1500,0.41115576,0.4758812,203.714657811878,23.572395589710133,289.76685,9.933107,295,34.215368,647.0092142
210,30,1500,0.43594778,0.48647106,269.5182221506946,12.350684512700527,338.96646,8.193441,312,50.8248189,927.6097226
210,33,1500,0.45849508,0.5193641,306.19988333227724,15.798627941966343,340.06542,8.442479,335,64.323734,1046.5324289999999
210,36,1500,0.47687566,0.6475286,381.41924016651353,7.164680988626158,424.66837,13.723376,382,63.56743899999999,1182.578134
210,39,1500,0.49172318,0.74309164,484.1747586718491,39.540854838175065,515.52755,19.606149,481,45.366876,1788.0798490000002
210,42,1500,0.51470476,0.8200772,587.5621443806217,78.49550739002142,563.8878,27.680308,513,77.584345,1963.147079
190,20,1200,0.31306988,0.3594161,272.62380914477103,24.132318,256,19.377586,281.84999999999997,19.377586,
195,20,1200,0.322277,0.36587813,269.808487688394,20.627134,246.29999999999998,18.354048,276.84999999999997,18.354048,
200,20,1200,0.32977375,0.37107092,269.433757,17.387121,225.5,17.758781,271.84999999999997,17.758781,
205,20,1200,0.33759612,0.3762351,253.28088481801603,14.404145,217.79999999999998,17.315134,266.84999999999997,17.315134,
210,20,1200,0.34307408,0.37925056,242.406711,11.63562,222,16.677622,261.85,16.677622,
200,16,1200,0.28351694,0.32669812,224.5456,19.298124,162.6,22.921402,252.64999999999998,22.921402,
200,18,1200,0.30681625,0.3493868,237.624187117786,18.21689,194.1,20.339035,262.25,20.339035,
200,20,1200,0.32977375,0.37107092,269.433757,17.387121,225.5,17.758781,271.84999999999997,17.758781,
200,22,1200,0.35227022,0.3921196,270.472424120172,16.389452,261.90000000000003,15.231774,281.45,15.231774,
200,24,1200,0.37354833,0.41322702,276.048701722441,15.591976,285.5,13.146434,291.04999999999995,13.146434,
200,20,800,0.33937362,0.3595754,240.648783,17.858067,246.4,16.666756,258.65,16.666756,
200,20,1000,0.33421478,0.3650635,254.25362838535997,17.53672,236,17.163473,265.84999999999997,17.163473,
200,20,1200,0.32977375,0.37107092,269.43375715414305,17.387121,225.5,17.758781,271.84999999999997,17.758781,
200,20,1400,0.3262449,0.3773652,283.606156476465,17.388767,218.1,18.332052,276.65000000000003,18.332052,
200,20,1600,0.32269588,0.38321698,290.50154463296303,17.461767,211,18.95478,280.25,18.95478,
